="",="stats_2",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_stipw_nostag_rp4_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp9_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp3_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp7_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp6_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp8_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp9_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp5_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp4_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp1_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp3_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp4_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp4_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp3_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp6_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp7_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp6_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp9_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp1_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp10_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp2_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp10_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp8_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp9_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp8_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp8_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp6_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp1_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp7_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp8_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp9_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp10_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp10_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp1_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp4_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp9_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp6_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp10_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp2_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp2_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp8_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp7_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp10_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp7_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp10_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp1_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp9_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp7_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp1_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp5_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp1_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp2_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp2_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp6_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp5_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp2_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp4_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp3_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp2_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp5_tvcdf5",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp3_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp3_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp3_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp5_tvcdf7",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp7_tvcdf4",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp4_tvcdf2",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp5_tvcdf1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp5_tvcdf6",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp6_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_rp8_tvcdf3",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_stipw_nostag_logn",="22287",="-58822.92",="-58577.43",="3",="117160.9",="117184.9"
="m_stipw_nostag_llog",="22287",="-58838.86",="-58606.39",="3",="117218.8",="117242.8"
="m_stipw_nostag_gom",="22287",="-58858.9",="-58638.91",="3",="117283.8",="117307.9"
="m_stipw_nostag_wei",="22287",="-59011.23",="-58795.89",="3",="117597.8",="117621.8"
="m_stipw_nostag_exp",="22287",="-60375.97",="-60173",="2",="120350",="120366"
