="",="stats_1b",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_nostag_rp6_tvc_1_mix2",="70861",=".",="-22632.66",="57",="45379.32",="45901.93"
="mestreg_ln",="70861",=".",="-22639.85",="52",="45383.7",="45860.46"
="mestreg_llog",="70861",=".",="-22656.72",="52",="45417.44",="45894.21"
="mestreg_wei",="70861",=".",="-22726.29",="52",="45556.59",="46033.35"
="mestreg_gam",="70861",=".",="-22772.97",="52",="45649.94",="46126.7"
="mestreg_exp",="70861",=".",="-23147.78",="51",="46397.56",="46865.15"
="stcox_clus",="70861",=".",="-52494.37",="49",="105086.7",="105536"
