="",="stats_125",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_24_2rp7_tvc_1",="22287",=".",="-67142.29",="466",="135216.6",="138950.1"
="m_24_2rp7_tvc_2",="22287",=".",="-67141.82",="468",="135219.6",="138969.1"
="m_24_2rp7_tvc_3",="22287",=".",="-67139.87",="470",="135219.7",="138985.3"
="m_24_2rp6_tvc_1",="22287",=".",="-67145.52",="465",="135221",="138946.5"
="m_24_2rp7_tvc_4",="22287",=".",="-67139.48",="472",="135223",="139004.5"
="m_24_2rp6_tvc_3",="22287",=".",="-67143.04",="469",="135224.1",="138981.6"
="m_24_2rp6_tvc_2",="22287",=".",="-67145.05",="467",="135224.1",="138965.6"
="m_24_2rp7_tvc_5",="22287",=".",="-67138.08",="474",="135224.2",="139021.7"
="m_24_2rp7_tvc_6",="22287",=".",="-67136.11",="476",="135224.2",="139037.8"
="m_24_2rp6_tvc_4",="22287",=".",="-67142.61",="471",="135227.2",="139000.8"
="m_24_2rp5_tvc_1",="22287",=".",="-67149.62",="464",="135227.2",="138944.7"
="m_24_2rp6_tvc_5",="22287",=".",="-67141.41",="473",="135228.8",="139018.4"
="m_24_2rp7_tvc_7",="22287",=".",="-67136.78",="478",="135229.6",="139059.2"
="m_24_2rp5_tvc_3",="22287",=".",="-67147.04",="468",="135230.1",="138979.6"
="m_24_2rp6_tvc_6",="22287",=".",="-67140.14",="475",="135230.3",="139035.9"
="m_24_2rp5_tvc_2",="22287",=".",="-67149.16",="466",="135230.3",="138963.8"
="m_24_2rp5_tvc_4",="22287",=".",="-67146.52",="470",="135233",="138998.6"
="m_24_2rp6_tvc_7",="22287",=".",="-67139.97",="477",="135233.9",="139055.6"
="m_24_2rp5_tvc_7",="22287",=".",="-67141.2",="476",="135234.4",="139048"
="m_24_2rp5_tvc_6",="22287",=".",="-67143.34",="474",="135234.7",="139032.2"
="m_24_2rp5_tvc_5",="22287",=".",="-67145.92",="472",="135235.8",="139017.4"
="m_24_2rp4_tvc_7",="22287",=".",="-67143.39",="475",="135236.8",="139042.4"
="m_24_2rp4_tvc_6",="22287",=".",="-67145.71",="473",="135237.4",="139027"
="m_24_2rp3_tvc_6",="22287",=".",="-67147.9",="472",="135239.8",="139021.3"
="m_24_2rp3_tvc_7",="22287",=".",="-67145.91",="474",="135239.8",="139037.4"
="m_24_2rp4_tvc_5",="22287",=".",="-67151.08",="471",="135244.2",="139017.7"
="m_24_2rp3_tvc_5",="22287",=".",="-67152.98",="470",="135246",="139011.5"
="m_24_2rp4_tvc_3",="22287",=".",="-67156.87",="467",="135247.7",="138989.2"
="m_24_2rp4_tvc_1",="22287",=".",="-67161.04",="463",="135248.1",="138957.5"
="m_24_2rp4_tvc_2",="22287",=".",="-67160.57",="465",="135251.1",="138976.6"
="m_24_2rp4_tvc_4",="22287",=".",="-67158.2",="469",="135254.4",="139011.9"
="m_24_2rp3_tvc_4",="22287",=".",="-67166.73",="468",="135269.5",="139019"
="m_24_2rp3_tvc_2",="22287",=".",="-67177.03",="458",="135270.1",="138939.5"
="m_24_2rp3_tvc_1",="22287",=".",="-67177.64",="462",="135279.3",="138980.7"
="m_24_2rp3_tvc_3",="22287",=".",="-67174.77",="466",="135281.5",="139015"
="m_24_2rp2_tvc_6",="22287",=".",="-67173.43",="471",="135288.9",="139062.4"
="m_24_2rp2_tvc_7",="22287",=".",="-67171.67",="473",="135289.3",="139078.9"
="m_24_2rp2_tvc_5",="22287",=".",="-67177.8",="469",="135293.6",="139051.1"
="m_24_2rp2_tvc_4",="22287",=".",="-67186.76",="467",="135307.5",="139049"
="m_24_2rp2_tvc_3",="22287",=".",="-67202.52",="465",="135335",="139060.5"
="m_24_2rp1_tvc_6",="22287",=".",="-67251.83",="470",="135443.7",="139209.2"
="m_24_2rp1_tvc_7",="22287",=".",="-67250.1",="472",="135444.2",="139225.8"
="m_24_2rp1_tvc_5",="22287",=".",="-67256.24",="468",="135448.5",="139198"
="m_24_2rp2_tvc_1",="22287",=".",="-67267.64",="461",="135457.3",="139150.7"
="m_24_2rp2_tvc_2",="22287",=".",="-67265.79",="463",="135457.6",="139167"
="m_24_2rp1_tvc_4",="22287",=".",="-67264.93",="466",="135461.9",="139195.3"
="m_24_2rp1_tvc_3",="22287",=".",="-67277.95",="464",="135483.9",="139201.4"
="m_24_2rp1_tvc_2",="22287",=".",="-67342.09",="462",="135608.2",="139309.6"
="m_24_2rp1_tvc_1",="22287",=".",="-67709.86",="460",="136339.7",="140025.1"
