="",="stats_3",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_stipw_nostag_rp6_tvcdf1",="22287",=".",="-59474.25",="9",="118966.5",="119038.6"
="m2_stipw_nostag_rp7_tvcdf1",="22287",=".",="-59473.28",="10",="118966.6",="119046.7"
="m2_stipw_nostag_rp6_tvcdf2",="22287",=".",="-59473.41",="10",="118966.8",="119046.9"
="m2_stipw_nostag_rp7_tvcdf2",="22287",=".",="-59472.44",="11",="118966.9",="119055"
="m2_stipw_nostag_rp8_tvcdf1",="22287",=".",="-59472.56",="11",="118967.1",="119055.2"
="m2_stipw_nostag_rp8_tvcdf2",="22287",=".",="-59471.71",="12",="118967.4",="119063.6"
="m2_stipw_nostag_rp5_tvcdf1",="22287",=".",="-59475.8",="8",="118967.6",="119031.7"
="m2_stipw_nostag_rp5_tvcdf2",="22287",=".",="-59474.97",="9",="118967.9",="119040"
="m2_stipw_nostag_rp9_tvcdf1",="22287",=".",="-59472.28",="12",="118968.6",="119064.7"
="m2_stipw_nostag_rp6_tvcdf3",="22287",=".",="-59473.37",="11",="118968.7",="119056.9"
="m2_stipw_nostag_rp7_tvcdf3",="22287",=".",="-59472.41",="12",="118968.8",="119065"
="m2_stipw_nostag_rp9_tvcdf2",="22287",=".",="-59471.42",="13",="118968.8",="119073"
="m2_stipw_nostag_rp10_tvcdf1",="22287",=".",="-59471.49",="13",="118969",="119073.1"
="m2_stipw_nostag_rp10_tvcdf2",="22287",=".",="-59470.64",="14",="118969.3",="119081.4"
="m2_stipw_nostag_rp8_tvcdf3",="22287",=".",="-59471.68",="13",="118969.4",="119073.5"
="m2_stipw_nostag_rp5_tvcdf3",="22287",=".",="-59474.93",="10",="118969.9",="119050"
="m2_stipw_nostag_rp6_tvcdf4",="22287",=".",="-59473.34",="12",="118970.7",="119066.8"
="m2_stipw_nostag_rp7_tvcdf4",="22287",=".",="-59472.38",="13",="118970.8",="119074.9"
="m2_stipw_nostag_rp9_tvcdf3",="22287",=".",="-59471.4",="14",="118970.8",="119083"
="m2_stipw_nostag_rp10_tvcdf3",="22287",=".",="-59470.61",="15",="118971.2",="119091.4"
="m2_stipw_nostag_rp8_tvcdf4",="22287",=".",="-59471.65",="14",="118971.3",="119083.5"
="m2_stipw_nostag_rp5_tvcdf7",="22287",=".",="-59471.84",="14",="118971.7",="119083.9"
="m2_stipw_nostag_rp5_tvcdf4",="22287",=".",="-59474.89",="11",="118971.8",="119059.9"
="m2_stipw_nostag_rp6_tvcdf6",="22287",=".",="-59471.89",="14",="118971.8",="119084"
="m2_stipw_nostag_rp5_tvcdf6",="22287",=".",="-59473",="13",="118972",="119076.2"
="m2_stipw_nostag_rp6_tvcdf5",="22287",=".",="-59473.02",="13",="118972",="119076.2"
="m2_stipw_nostag_rp7_tvcdf6",="22287",=".",="-59471.07",="15",="118972.1",="119092.3"
="m2_stipw_nostag_rp7_tvcdf5",="22287",=".",="-59472.16",="14",="118972.3",="119084.5"
="m2_stipw_nostag_rp4_tvcdf1",="22287",=".",="-59479.26",="7",="118972.5",="119028.6"
="m2_stipw_nostag_rp9_tvcdf4",="22287",=".",="-59471.37",="15",="118972.7",="119092.9"
="m2_stipw_nostag_rp3_tvcdf6",="22287",=".",="-59475.38",="11",="118972.8",="119060.9"
="m2_stipw_nostag_rp4_tvcdf2",="22287",=".",="-59478.44",="8",="118972.9",="119037"
="m2_stipw_nostag_rp8_tvcdf5",="22287",=".",="-59471.49",="15",="118973",="119093.2"
="m2_stipw_nostag_rp4_tvcdf6",="22287",=".",="-59474.49",="12",="118973",="119069.1"
="m2_stipw_nostag_rp10_tvcdf4",="22287",=".",="-59470.58",="16",="118973.2",="119101.3"
="m2_stipw_nostag_rp6_tvcdf7",="22287",=".",="-59471.61",="15",="118973.2",="119093.4"
="m2_stipw_nostag_rp8_tvcdf6",="22287",=".",="-59470.64",="16",="118973.3",="119101.5"
="m2_stipw_nostag_rp3_tvcdf7",="22287",=".",="-59474.68",="12",="118973.4",="119069.5"
="m2_stipw_nostag_rp4_tvcdf7",="22287",=".",="-59473.7",="13",="118973.4",="119077.6"
="m2_stipw_nostag_rp5_tvcdf5",="22287",=".",="-59474.73",="12",="118973.5",="119069.6"
="m2_stipw_nostag_rp9_tvcdf6",="22287",=".",="-59469.74",="17",="118973.5",="119109.7"
="m2_stipw_nostag_rp10_tvcdf6",="22287",=".",="-59469.03",="18",="118974.1",="119118.3"
="m2_stipw_nostag_rp7_tvcdf7",="22287",=".",="-59471.13",="16",="118974.3",="119102.4"
="m2_stipw_nostag_rp9_tvcdf5",="22287",=".",="-59471.19",="16",="118974.4",="119102.6"
="m2_stipw_nostag_rp4_tvcdf3",="22287",=".",="-59478.3",="9",="118974.6",="119046.7"
="m2_stipw_nostag_rp3_tvcdf1",="22287",=".",="-59481.33",="6",="118974.7",="119022.7"
="m2_stipw_nostag_rp10_tvcdf5",="22287",=".",="-59470.41",="17",="118974.8",="119111"
="m2_stipw_nostag_rp3_tvcdf2",="22287",=".",="-59480.54",="7",="118975.1",="119031.2"
="m2_stipw_nostag_rp8_tvcdf7",="22287",=".",="-59470.93",="17",="118975.9",="119112.1"
="m2_stipw_nostag_rp3_tvcdf5",="22287",=".",="-59478.08",="10",="118976.2",="119056.3"
="m2_stipw_nostag_rp4_tvcdf5",="22287",=".",="-59477.14",="11",="118976.3",="119064.4"
="m2_stipw_nostag_rp10_tvcdf7",="22287",=".",="-59469.28",="19",="118976.6",="119128.8"
="m2_stipw_nostag_rp4_tvcdf4",="22287",=".",="-59478.35",="10",="118976.7",="119056.8"
="m2_stipw_nostag_rp9_tvcdf7",="22287",=".",="-59470.36",="18",="118976.7",="119120.9"
="m2_stipw_nostag_rp3_tvcdf3",="22287",=".",="-59480.47",="8",="118976.9",="119041"
="m2_stipw_nostag_rp3_tvcdf4",="22287",=".",="-59480.19",="9",="118978.4",="119050.5"
="m2_stipw_nostag_rp2_tvcdf6",="22287",=".",="-59489.49",="10",="118999",="119079.1"
="m2_stipw_nostag_rp2_tvcdf7",="22287",=".",="-59488.8",="11",="118999.6",="119087.7"
="m2_stipw_nostag_rp2_tvcdf5",="22287",=".",="-59491.88",="9",="119001.8",="119073.9"
="m2_stipw_nostag_rp2_tvcdf4",="22287",=".",="-59493.52",="8",="119003",="119067.1"
="m2_stipw_nostag_rp2_tvcdf3",="22287",=".",="-59494.7",="7",="119003.4",="119059.5"
="m2_stipw_nostag_rp2_tvcdf1",="22287",=".",="-59508.99",="5",="119028",="119068"
="m2_stipw_nostag_rp2_tvcdf2",="22287",=".",="-59508.04",="6",="119028.1",="119076.2"
="m2_stipw_nostag_logn",="22287",="-59587.68",="-59551.9",="3",="119109.8",="119133.8"
="m2_stipw_nostag_llog",="22287",="-59604.45",="-59566.17",="3",="119138.3",="119162.4"
="m2_stipw_nostag_rp1_tvcdf6",="22287",=".",="-59584.54",="9",="119187.1",="119259.2"
="m2_stipw_nostag_rp1_tvcdf7",="22287",=".",="-59583.87",="10",="119187.7",="119267.9"
="m2_stipw_nostag_rp1_tvcdf5",="22287",=".",="-59587.01",="8",="119190",="119254.1"
="m2_stipw_nostag_rp1_tvcdf4",="22287",=".",="-59588.57",="7",="119191.1",="119247.2"
="m2_stipw_nostag_rp1_tvcdf3",="22287",=".",="-59589.63",="6",="119191.3",="119239.3"
="m2_stipw_nostag_gom",="22287",="-59640.62",="-59603.83",="3",="119213.7",="119237.7"
="m2_stipw_nostag_rp1_tvcdf2",="22287",=".",="-59603.09",="5",="119216.2",="119256.2"
="m2_stipw_nostag_wei",="22287",="-59782.42",="-59744.81",="3",="119495.6",="119519.6"
="m2_stipw_nostag_rp1_tvcdf1",="22287",=".",="-59744.75",="4",="119497.5",="119529.5"
="m2_stipw_nostag_exp",="22287",="-61234.94",="-61200.93",="2",="122405.9",="122421.9"
