="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m2_1_cox1",="22287",=".",="-54299.49",="18",="108635",="108779.2"
="m2_1_cox2",="22287",=".",="-54265.5",="19",="108569",="108721.2"
="m2_1_cox3",="22287",=".",="-54232.85",="20",="108505.7",="108665.9"
="m2_1_cox4",="22287",=".",="-54229.08",="21",="108500.2",="108668.4"
="m2_1_cox5",="22287",=".",="-54223.65",="22",="108491.3",="108667.6"
="m2_1_cox6",="22287",=".",="-54217.26",="23",="108480.5",="108664.8"
="m2_1_cox7",="22287",=".",="-54216.8",="24",="108481.6",="108673.9"
="m2_1_gom",="22287",=".",="-53676.87",="18",="107389.7",="107534"
="m2_1_wei",="22287",=".",="-54198.16",="17",="108430.3",="108566.5"
="m2_1_logl",="22287",=".",="-54991.13",="18",="110018.3",="110162.5"
="m2_1_logn",="22287",=".",="-55116.46",="4",="110240.9",="110273"
="m2_1_ggam",="22287",=".",="-55080.54",="3",="110167.1",="110191.1"
="m2_1_rp1",="22287",=".",="-54198.16",="18",="108432.3",="108576.5"
="m2_1_rp2",="22287",=".",="-53739.35",="19",="107516.7",="107668.9"
="m2_1_rp3",="22287",=".",="-53720.5",="20",="107481",="107641.2"
="m2_1_rp4",="22287",=".",="-53716.52",="21",="107475",="107643.3"
="m2_1_rp5",="22287",=".",="-53702.43",="22",="107448.9",="107625.1"
="m2_1_rp6",="22287",=".",="-53700.29",="23",="107446.6",="107630.9"
="m2_1_rp7",="22287",=".",="-53697.47",="24",="107442.9",="107635.2"
="m2_1_rp8",="22287",=".",="-53695.56",="25",="107441.1",="107641.4"
="m2_1_rp9",="22287",=".",="-53690.32",="26",="107432.6",="107641"
="m2_1_rp10",="22287",=".",="-53685.61",="27",="107425.2",="107641.5"
