="",="stats_1",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_nostag_rp8_tvc_1",="22287",=".",="-54970.6",="64",="110069.2",="110582"
="m_nostag_rp7_tvc_1",="22287",=".",="-54971.64",="63",="110069.3",="110574"
="m_nostag_rp9_tvc_1",="22287",=".",="-54969.91",="65",="110069.8",="110590.6"
="m_nostag_rp6_tvc_1",="22287",=".",="-54973.02",="62",="110070",="110566.8"
="m_nostag_rp10_tvc_1",="22287",=".",="-54969.31",="66",="110070.6",="110599.4"
="m_nostag_rp5_tvc_1",="22287",=".",="-54975.02",="61",="110072",="110560.8"
="m_nostag_rp8_tvc_2",="22287",=".",="-54970.53",="66",="110073.1",="110601.8"
="m_nostag_rp7_tvc_2",="22287",=".",="-54971.56",="65",="110073.1",="110593.9"
="m_nostag_rp9_tvc_2",="22287",=".",="-54969.84",="67",="110073.7",="110610.5"
="m_nostag_rp6_tvc_2",="22287",=".",="-54972.95",="64",="110073.9",="110586.7"
="m_nostag_rp10_tvc_2",="22287",=".",="-54969.24",="68",="110074.5",="110619.3"
="m_nostag_rp5_tvc_2",="22287",=".",="-54974.95",="63",="110075.9",="110580.6"
="m_nostag_rp8_tvc_3",="22287",=".",="-54970.42",="68",="110076.8",="110621.6"
="m_nostag_rp7_tvc_3",="22287",=".",="-54971.46",="67",="110076.9",="110613.7"
="m_nostag_rp9_tvc_3",="22287",=".",="-54969.72",="69",="110077.4",="110630.3"
="m_nostag_rp6_tvc_3",="22287",=".",="-54972.84",="66",="110077.7",="110606.5"
="m_nostag_rp10_tvc_3",="22287",=".",="-54969.13",="70",="110078.3",="110639.1"
="m_nostag_rp4_tvc_1",="22287",=".",="-54979.76",="60",="110079.5",="110560.2"
="m_nostag_rp5_tvc_3",="22287",=".",="-54974.82",="65",="110079.6",="110600.4"
="m_nostag_rp8_tvc_4",="22287",=".",="-54970.42",="70",="110080.8",="110641.7"
="m_nostag_rp7_tvc_4",="22287",=".",="-54971.44",="69",="110080.9",="110633.7"
="m_nostag_rp9_tvc_4",="22287",=".",="-54969.73",="71",="110081.5",="110650.3"
="m_nostag_rp6_tvc_4",="22287",=".",="-54972.81",="68",="110081.6",="110626.4"
="m_nostag_rp10_tvc_4",="22287",=".",="-54969.13",="72",="110082.3",="110659.1"
="m_nostag_rp4_tvc_2",="22287",=".",="-54979.69",="62",="110083.4",="110580.1"
="m_nostag_rp8_tvc_5",="22287",=".",="-54969.72",="72",="110083.4",="110660.3"
="m_nostag_rp5_tvc_4",="22287",=".",="-54974.72",="67",="110083.4",="110620.2"
="m_nostag_rp7_tvc_5",="22287",=".",="-54970.76",="71",="110083.5",="110652.3"
="m_nostag_rp3_tvc_6",="22287",=".",="-54972.94",="69",="110083.9",="110636.7"
="m_nostag_rp9_tvc_5",="22287",=".",="-54969.03",="73",="110084.1",="110668.9"
="m_nostag_rp6_tvc_5",="22287",=".",="-54972.1",="70",="110084.2",="110645"
="m_nostag_rp10_tvc_5",="22287",=".",="-54968.45",="74",="110084.9",="110677.8"
="m_nostag_rp4_tvc_6",="22287",=".",="-54972.57",="70",="110085.1",="110646"
="m_nostag_rp3_tvc_5",="22287",=".",="-54975.58",="67",="110085.2",="110621.9"
="m_nostag_rp3_tvc_7",="22287",=".",="-54971.64",="71",="110085.3",="110654.1"
="m_nostag_rp7_tvc_6",="22287",=".",="-54970.05",="73",="110086.1",="110671"
="m_nostag_rp8_tvc_6",="22287",=".",="-54969.11",="74",="110086.2",="110679.1"
="m_nostag_rp9_tvc_6",="22287",=".",="-54968.14",="75",="110086.3",="110687.2"
="m_nostag_rp5_tvc_5",="22287",=".",="-54974.17",="69",="110086.3",="110639.1"
="m_nostag_rp4_tvc_7",="22287",=".",="-54971.2",="72",="110086.4",="110663.2"
="m_nostag_rp5_tvc_6",="22287",=".",="-54972.21",="71",="110086.4",="110655.3"
="m_nostag_rp4_tvc_3",="22287",=".",="-54979.27",="64",="110086.5",="110599.3"
="m_nostag_rp4_tvc_5",="22287",=".",="-54975.29",="68",="110086.6",="110631.4"
="m_nostag_rp6_tvc_6",="22287",=".",="-54971.39",="72",="110086.8",="110663.6"
="m_nostag_rp3_tvc_1",="22287",=".",="-54984.5",="59",="110087",="110559.7"
="m_nostag_rp10_tvc_6",="22287",=".",="-54967.65",="76",="110087.3",="110696.2"
="m_nostag_rp8_tvc_7",="22287",=".",="-54967.82",="76",="110087.6",="110696.5"
="m_nostag_rp5_tvc_7",="22287",=".",="-54970.89",="73",="110087.8",="110672.6"
="m_nostag_rp7_tvc_7",="22287",=".",="-54969.21",="75",="110088.4",="110689.3"
="m_nostag_rp9_tvc_7",="22287",=".",="-54967.44",="77",="110088.9",="110705.8"
="m_nostag_rp6_tvc_7",="22287",=".",="-54970.48",="74",="110089",="110681.8"
="m_nostag_rp10_tvc_7",="22287",=".",="-54966.91",="78",="110089.8",="110714.7"
="m_nostag_rp3_tvc_2",="22287",=".",="-54984.44",="61",="110090.9",="110579.6"
="m_nostag_rp4_tvc_4",="22287",=".",="-54979.58",="66",="110091.2",="110619.9"
="m_nostag_rp3_tvc_4",="22287",=".",="-54982.22",="65",="110094.4",="110615.2"
="m_nostag_rp3_tvc_3",="22287",=".",="-54984.31",="63",="110094.6",="110599.4"
="m_nostag_rp2_tvc_6",="22287",=".",="-54980.24",="68",="110096.5",="110641.3"
="m_nostag_rp2_tvc_5",="22287",=".",="-54982.52",="66",="110097",="110625.8"
="m_nostag_rp2_tvc_7",="22287",=".",="-54978.96",="70",="110097.9",="110658.7"
="m_nostag_rp2_tvc_4",="22287",=".",="-54987.48",="64",="110103",="110615.7"
="m_nostag_rp2_tvc_3",="22287",=".",="-54992.18",="62",="110108.4",="110605.1"
="m_nostag_rp1_tvc_6",="22287",=".",="-55008.4",="67",="110150.8",="110687.6"
="m_nostag_rp1_tvc_5",="22287",=".",="-55010.74",="65",="110151.5",="110672.3"
="m_nostag_rp1_tvc_7",="22287",=".",="-55007.14",="69",="110152.3",="110705.1"
="m_nostag_rp1_tvc_4",="22287",=".",="-55015.62",="63",="110157.2",="110662"
="m_nostag_rp1_tvc_3",="22287",=".",="-55019.67",="61",="110161.3",="110650.1"
="m_nostag_rp2_tvc_1",="22287",=".",="-55024.16",="58",="110164.3",="110629"
="m_nostag_rp2_tvc_2",="22287",=".",="-55023.87",="60",="110167.7",="110648.4"
="m_nostag_rp1_tvc_2",="22287",=".",="-55051.58",="59",="110221.2",="110693.8"
="m_nostag_rp1_tvc_1",="22287",=".",="-55220.64",="57",="110555.3",="111012"
