="",="stats_124",="",="",="",="",=""
="",="N",="ll0",="ll",="df",="AIC",="BIC"
="m_24_rp7_tvc_1",="22287",=".",="-67210.92",="380",="135181.8",="138226.3"
="m_24_rp7_tvc_2",="22287",=".",="-67210.41",="382",="135184.8",="138245.3"
="m_24_rp7_tvc_3",="22287",=".",="-67208.54",="384",="135185.1",="138261.6"
="m_24_rp6_tvc_1",="22287",=".",="-67214.25",="379",="135186.5",="138223"
="m_24_rp7_tvc_4",="22287",=".",="-67208.13",="386",="135188.3",="138280.8"
="m_24_rp7_tvc_5",="22287",=".",="-67206.71",="388",="135189.4",="138298"
="m_24_rp7_tvc_6",="22287",=".",="-67204.75",="390",="135189.5",="138314.1"
="m_24_rp6_tvc_2",="22287",=".",="-67213.75",="381",="135189.5",="138242"
="m_24_rp6_tvc_3",="22287",=".",="-67211.82",="383",="135189.6",="138258.1"
="m_24_rp6_tvc_4",="22287",=".",="-67211.37",="385",="135192.7",="138277.3"
="m_24_rp5_tvc_1",="22287",=".",="-67218.48",="378",="135193",="138221.4"
="m_24_rp6_tvc_5",="22287",=".",="-67210.14",="387",="135194.3",="138294.8"
="m_24_rp7_tvc_7",="22287",=".",="-67205.44",="392",="135194.9",="138335.5"
="m_24_rp6_tvc_6",="22287",=".",="-67208.91",="389",="135195.8",="138312.4"
="m_24_rp5_tvc_3",="22287",=".",="-67215.95",="382",="135195.9",="138256.4"
="m_24_rp5_tvc_2",="22287",=".",="-67218",="380",="135196",="138240.5"
="m_24_rp5_tvc_4",="22287",=".",="-67215.41",="384",="135198.8",="138275.3"
="m_24_rp6_tvc_7",="22287",=".",="-67208.73",="391",="135199.5",="138332.1"
="m_24_rp5_tvc_7",="22287",=".",="-67209.99",="390",="135200",="138324.6"
="m_24_rp5_tvc_6",="22287",=".",="-67212.24",="388",="135200.5",="138309"
="m_24_rp5_tvc_5",="22287",=".",="-67214.81",="386",="135201.6",="138294.2"
="m_24_rp4_tvc_7",="22287",=".",="-67212.25",="389",="135202.5",="138319.1"
="m_24_rp4_tvc_6",="22287",=".",="-67214.67",="387",="135203.3",="138303.9"
="m_24_rp3_tvc_7",="22287",=".",="-67214.81",="388",="135205.6",="138314.2"
="m_24_rp3_tvc_6",="22287",=".",="-67216.89",="386",="135205.8",="138298.3"
="m_24_rp4_tvc_5",="22287",=".",="-67220.12",="385",="135210.2",="138294.8"
="m_24_rp3_tvc_5",="22287",=".",="-67222.05",="384",="135212.1",="138288.6"
="m_24_rp4_tvc_3",="22287",=".",="-67225.98",="381",="135214",="138266.4"
="m_24_rp4_tvc_1",="22287",=".",="-67230.08",="377",="135214.2",="138234.6"
="m_24_rp4_tvc_2",="22287",=".",="-67229.57",="379",="135217.1",="138253.6"
="m_24_rp4_tvc_4",="22287",=".",="-67227.27",="383",="135220.5",="138289.1"
="m_24_rp3_tvc_4",="22287",=".",="-67235.86",="382",="135235.7",="138296.2"
="m_24_rp3_tvc_1",="22287",=".",="-67246.94",="376",="135245.9",="138258.3"
="m_24_rp3_tvc_3",="22287",=".",="-67244.14",="380",="135248.3",="138292.8"
="m_24_rp3_tvc_2",="22287",=".",="-67246.31",="378",="135248.6",="138277.1"
="m_24_rp2_tvc_6",="22287",=".",="-67242.44",="385",="135254.9",="138339.4"
="m_24_rp2_tvc_7",="22287",=".",="-67240.58",="387",="135255.2",="138355.7"
="m_24_rp2_tvc_5",="22287",=".",="-67246.87",="383",="135259.7",="138328.3"
="m_24_rp2_tvc_4",="22287",=".",="-67255.9",="381",="135273.8",="138326.3"
="m_24_rp2_tvc_3",="22287",=".",="-67271.94",="379",="135301.9",="138338.3"
="m_24_rp1_tvc_6",="22287",=".",="-67320.78",="384",="135409.6",="138486.1"
="m_24_rp1_tvc_7",="22287",=".",="-67318.95",="386",="135409.9",="138502.4"
="m_24_rp1_tvc_5",="22287",=".",="-67325.25",="382",="135414.5",="138475"
="m_24_rp2_tvc_1",="22287",=".",="-67338.5",="375",="135427",="138431.4"
="m_24_rp2_tvc_2",="22287",=".",="-67336.56",="377",="135427.1",="138447.6"
="m_24_rp1_tvc_4",="22287",=".",="-67334.01",="380",="135428",="138472.5"
="m_24_rp1_tvc_3",="22287",=".",="-67347.28",="378",="135450.6",="138479"
="m_24_rp1_tvc_2",="22287",=".",="-67412.77",="376",="135577.5",="138590"
="m_24_rp1_tvc_1",="22287",=".",="-67780.05",="374",="136308.1",="139304.5"
