"model"	"1"	"2"	"3"	"4"	"5"	"6"
"1"	"Primary (strata, lag=0)"	0,180793402503039	0,783493578059744	0,921938080601278	0,91237116311351	1,05548319698453	1,5191338249307
"2"	"Alternative (strata, lag=1)"	0,0279490966648197	0,0398445295709403	0,0495560863957016	0,200978778970897	0,0658581247104503	2,24293106430934
