"model"	"1"	"2"	"3"	"4"	"5"	"6"
"1"	"No time-varying coefficients, lagged covariates fixed in 0"	"0.21"	"1.00"	"1.62"	"1.83"	"2.56"	"3.79"
"2"	"No time-varying coefficients, lagged covariates fixed in 1"	"0.13"	"0.42"	"0.68"	"0.70"	"1.00"	"1.00"
"3"	"With time-varying coefficients, lagged covariates fixed in 0"	"0.47"	"0.67"	"1.08"	"1.33"	"1.90"	"3.03"
"4"	"With time-varying coefficients, lagged covariates fixed in 1"	"0.10"	"0.17"	"0.55"	"0.88"	"1.36"	"3.56"
"5"	"Stratified by follow-up intervals, lagged covariates fixed in 0"	"0.29"	"0.60"	"0.86"	"0.99"	"1.18"	"3.02"
"6"	"Stratified by follow-up intervals, lagged covariates fixed in 1"	"0.12"	"0.12"	"0.44"	"0.60"	"0.76"	"3.07"
