"model"	"1"	"2"	"3"	"4"	"5"	"6"
"1"	"Primary (strata, lag=0)"	6,88355883347864e-123	0,598587290457278	1,32414595247499	1,7341081200873	2,55848202532622	5,44751182520836
"2"	"Alternative (strata, lag=1)"	0,287702285225415	0,598801689991104	0,862961617958783	0,986610006129848	1,1841353311522	3,01839744672743
"3"	"Alternative (2nd strata intervals, lag=1)"	0,287702285225415	0,598801689991104	0,862961617958783	0,986610006129848	1,1841353311522	3,01839744672743
