"model"	"1"	"2"	"3"	"4"	"5"	"6"
"1"	"Primary (after PH, lag=0)"	0,468197592583397	0,66527365805917	1,08442364981773	1,32662014875249	1,90359710535745	3,02504454630828
"2"	"Alternative (after PH, lag=1)"	0,097660018481431	0,168822342292442	0,545453995001004	0,880187376469675	1,35785408962317	3,56259859768406
