"model"	"1"	"2"	"3"	"4"	"5"	"6"
"1"	"Primary (no corrections, lag=0)"	0,213961900235734	1	1,61717840333943	1,83413186010597	2,55955519089255	3,79298584581289
"2"	"Alternative (no corrections, lag=1)"	0,12942332034119	0,418495164666828	0,675853549010806	0,697127637921717	1	1
