"item"	"group1"	"vars"	"n"	"mean"	"sd"	"median"	"trimmed"	"mad"	"min"	"max"	"range"	"skew"	"kurtosis"	"se"
"X11"	"1"	"i0"	1	90075	1,59	1,39	1	1,26	0	1	4,84	3,84	1,91	1,66	0
"X12"	"2"	"i0b"	1	90075	0,9	0,24	1	0,96	0	0,34	1	0,66	-1,91	1,66	0
"X13"	"3"	"i0c"	1	30988	1,34	0,37	1	1,33	0	1	1,75	0,75	0,21	-1,96	0
"X14"	"4"	"i0d"	1	30988	0,66	0,13	0,61	0,62	0	0,61	1	0,39	2,32	3,37	0
"X15"	"5"	"i1"	1	90075	0,89	0,24	1	0,94	0	0,26	1	0,74	-1,71	1,13	0
"X16"	"6"	"i1b"	1	90075	0,85	0,32	1	0,93	0	0,03	1	0,97	-1,73	1,17	0
"X17"	"7"	"i1c"	1	30988	2,13	1,07	2,37	2,09	1,49	1	3,67	2,67	0,03	-1,81	0,01
"X18"	"8"	"i1d"	1	30988	0,39	0,17	0,33	0,36	0,11	0,25	1	0,75	1,22	0,93	0
"X19"	"9"	"i2"	1	90075	1,34	0,73	1	1,16	0	0,97	8,52	7,55	1,92	2,35	0
"X110"	"10"	"i3"	1	90075	1,24	0,54	1	1,11	0	0,7	3,28	2,58	2,01	2,69	0
"X111"	"11"	"i3b"	1	90075	0,89	0,23	1	0,95	0	0,19	1	0,81	-1,88	1,95	0
"X112"	"12"	"i4"	1	90075	1,34	0,73	1	1,16	0	0,97	8,52	7,55	1,92	2,35	0
"X113"	"13"	"i4b"	1	90075	0,85	0,32	1	0,93	0	0	1,05	1,04	-1,73	1,16	0
"X114"	"14"	"i4c"	1	30988	2,67	105,18	0,71	0,68	0,73	0,22	17698,53	17698,31	155,83	25921,69	0,6
"X115"	"15"	"i4d"	1	30988	0,67	23,5	0,18	0,21	0,09	0,12	4030,97	4030,85	163,37	27910,63	0,13
"X116"	"16"	"i5"	1	90075	1,24	0,54	1	1,11	0	0,7	3,28	2,58	2,01	2,69	0
"X117"	"17"	"i5b"	1	90075	0,89	0,23	1	0,95	0	0,19	1	0,81	-1,88	1,95	0
